gage_id,NSE,NNSE
01518862,0.0306743474573863,0.5077880332838255
01539000,0.0104129610328862,0.5026168649144126
01414500,0.0306374973175778,0.5077785317014636
01484100,-0.0271924252655229,0.4932930823619368
01543000,-0.0135073235949279,0.4966458220845177
01568000,0.0201865429554842,0.5050980921671325
01557500,0.000747454915263,0.5001869335910315
02055100,0.0173407063364753,0.5043730928435096
01580000,0.0589775545711384,0.5151923937587717
01591400,0.0695210569071971,0.5180061681470138
01543500,-0.0227939543671771,0.4943657251105666
01510000,0.0054362836762543,0.5013627751351745
01605500,-0.010720528202061,0.4973341575689669
01466500,-0.0046160589606931,0.4988486426265869
01411300,-0.0003563507906034,0.4999109281727571
01606500,-0.0250391860750807,0.4938176045561835
01632000,0.0197741647128355,0.5049929064555326
01634500,0.0011531766776681,0.5002884604923731
01594950,0.0195043257133979,0.5049241020736952
01667500,-0.0168749513364847,0.4958165598404347
01532000,0.0225930861259412,0.5057128064960786
01664000,-0.0466190569231899,0.4886107146404482
01639500,0.0391963983621573,0.509994983263346
14301000,0.1142883500114618,0.5303037715262979
01547700,0.0030478656404026,0.5007631293679906
01669520,-0.1129500657525619,0.4732719510074335
02014000,0.0110250206813246,0.5027715332761756
01596500,0.0179767289941357,0.5045349439779818
02361000,-0.0008439401303401,0.499789103959231
02017500,0.017855317491735,0.504504039904176
02015700,0.0205306816712264,0.5051859055053605
02027000,0.0114874019796885,0.5028884408354075
02011400,-0.0173731306430062,0.495694120641562
01583500,0.0588324650383367,0.515153886508693
02028500,0.0104661686443722,0.5026303067782569
01548500,-0.0036327595391965,0.4990934567420349
01669000,-0.0177132260137977,0.4956105689883414
02051500,-0.0733090435115575,0.4823207630958397
02046000,-0.0542135308376883,0.4868043097701774
01632900,-0.0380743322237469,0.4906592385709985
01666500,-0.0031414439522621,0.4992158706611192
02013000,0.0183687184133934,0.5046347467826321
02016000,-0.0138081121956088,0.496571641530296
01550000,0.0206910013112578,0.5052268244435218
02053800,0.0400505120539437,0.5102172306736116
01644000,-0.012242883679441,0.4969579011115559
01586610,0.0396367404190356,0.510109539705286
02065500,-0.0475290171937849,0.488393566881185
02069700,0.0313204435661395,0.5079546829913941
01638480,0.0293749155074646,0.5074531973987911
02074500,0.0089100533011881,0.5022374813644057
02096846,0.0391425849421118,0.5099809870522779
02102908,-0.0100100040082826,0.497509961644887
02111500,0.0597077649662988,0.5153862814807537
02077200,0.0194592228331299,0.504912603430707
02128000,-0.0142757130510553,0.4964563656905162
02111180,0.0625960105917722,0.5161546097081414
02027500,0.0167642604680281,0.504226492124427
02018000,-0.0075396768348872,0.4981221599448598
02140991,0.047356384173113,0.5121262230827153
02056900,0.0539352454086592,0.5138575156046092
02118500,0.0428843385879798,0.5109560051645183
02070000,0.0057191952445808,0.5014338991858477
02059500,0.0173915425202013,0.5043860255045791
02038850,0.020722844229118,0.5052349526110321
02143040,0.0322301512997679,0.5081895124374065
14362250,-0.024445096582405,0.4939625192543693
02137727,0.0394187339907279,0.5100528181805399
02177000,0.0350604808942186,0.5089215165538974
02196000,-0.0074343845042275,0.4981482870469852
02053200,-0.0313258088351258,0.4922893194437652
02064000,-0.0044593678460633,0.4988876382535867
02216180,-0.0031773989311179,0.4992069102484849
02231000,-0.0161983731271528,0.4959829416234403
02215100,-0.0015528358586462,0.4996120922138984
02108000,-0.0539341208320436,0.4868705329238614
02246000,-0.0142903806378997,0.4964527506125075
02245500,-0.0017813441528007,0.4995550602572044
02082950,-0.1291609489869969,0.4696685802338126
02297310,-0.0370399825689646,0.4909083810612659
02152100,0.0226077016453123,0.5057165443761775
02193340,0.0635051599674217,0.5163969349813381
02198100,0.0053972903442275,0.5013529737822223
02298608,-0.0222759987362091,0.4944923445785516
02092500,-0.0570412244114035,0.4861351285199145
02300700,-0.000244299866412,0.4999389324927889
02363000,0.0006756057986018,0.5001689585243299
02178400,0.0200585716590765,0.5050654457177263
02212600,0.0191587008380582,0.5048360009573114
14154500,0.107419590540299,0.5283791351752831
02297155,0.0086042033679203,0.5021603448652628
02371500,-0.0024099878014471,0.4993982281810097
02143000,0.0072088846256378,0.5018087406577693
02296500,-0.0522428424173051,0.4872717688819493
02081500,-0.0214109792603376,0.4947039519721585
02202600,-0.0183723775658952,0.4954487145756394
02415000,0.0292956074716876,0.5074327757077008
02427250,-0.0018818551905641,0.4995299784585976
02221525,0.0051764490016914,0.5012974703950885
02374500,-0.0528763988327376,0.4871213876142754
02384540,0.0502663472810652,0.5128905676965078
02430085,0.0560811537404105,0.5144247672294344
02299950,0.0040544316258038,0.5010156668824157
02479155,0.0127836989306825,0.5032164840142976
02464000,0.0080049037204043,0.5020092679282582
02369800,0.0075189117184826,0.5018868213512048
02479300,-0.0487231158157472,0.4881089066063603
02381600,0.0426788111808146,0.5109023525174634
02481000,0.017911682813283,0.5045183866576405
03010655,-0.0122422689061421,0.4969580529404153
03011800,0.0137120414457342,0.5034516751175683
02298123,-0.0153769903049634,0.4961850833916099
02450250,0.0247097342191808,0.5062547096614718
